edad,puede_votar
29,1
18,1
50,1
46,1
43,1
32,1
28,1
26,1
69,1
19,1
18,1
26,1
42,1
44,1
79,1
18,1
40,1
68,1
43,1
72,1
50,1
15,0
35,1
69,1
58,1
50,1
34,1
42,1
58,1
28,1
26,1
63,1
27,1
60,1
59,1
48,1
20,1
73,1
30,1
63,1
25,1
52,1
61,1
39,1
23,1
20,1
44,1
52,1
25,1
44,1
27,1
63,1
50,1
73,1
61,1
35,1
62,1
60,1
41,1
49,1
24,1
36,1
46,1
35,1
74,1
63,1
49,1
43,1
56,1
22,1
44,1
19,1
55,1
66,1
49,1
23,1
42,1
55,1
42,1
78,1
65,1
73,1
33,1
48,1
32,1
46,1
48,1
69,1
66,1
61,1
43,1
32,1
80,1
78,1
26,1
21,1
29,1
34,1
35,1
69,1
23,1
64,1
63,1
74,1
47,1
16,0
29,1
49,1
58,1
29,1
52,1
70,1
35,1
73,1
15,0
48,1
79,1
37,1
79,1
28,1
53,1
79,1
40,1
34,1
62,1
35,1
15,0
56,1
77,1
17,0
29,1
61,1
54,1
45,1
22,1
45,1
25,1
25,1
77,1
23,1
31,1
31,1
75,1
36,1
48,1
69,1
42,1
40,1
54,1
66,1
62,1
71,1
72,1
30,1
46,1
43,1
23,1
58,1
17,0
44,1
43,1
15,0
24,1
22,1
44,1
23,1
19,1
57,1
24,1
80,1
45,1
50,1
77,1
42,1
31,1
75,1
46,1
75,1
67,1
39,1
27,1
27,1
70,1
60,1
69,1
67,1
74,1
21,1
27,1
22,1
66,1
58,1
28,1
46,1
39,1
39,1
72,1
32,1
69,1
38,1
